carrier_key,carrier_name,vip_carrier
1c08879ba9880a358e9320c639627887,Carrier 1416491,false
a26b0f05d42e63e2f2d5dad6396b36be,Carrier 1430635,false
d11d4d2759e4b55a5cce251607b6c8cb,Carrier 1695510,false
ea633bdbfa6036bf149452b20981b625,Carrier 1361792,false
41913224ac721bd808414d01433a736d,Carrier 34632,false
c2ef9154ec0a9aeb3d98465a5b0e8025,Carrier 102826,false
d2ca8ea2521eabd861e40626e391cf7f,Carrier 1695549,false
8ad0b49cb547827f696d0434ce0c2529,Carrier 1241928,false
3310d97d71278ce7faba34f2a63f855b,Carrier 1072372,false
f608578bfdd106d6394d2379384a6463,Carrier 1054825,false
d14673bea3129b591e33e52bddae528b,Carrier 166414,false
8e6c17d700886086ab6e741ca3718070,Carrier 1695684,false
4c50476e826fb98767966c4e2d925dfa,Carrier 1168345,false
bcd5bc11647befb6f15809806f684937,Carrier 1594295,false
1bf1977171840214673739f0fa4c6f3a,Carrier 1694857,false
8c5df8c5b3e9bc824b20a2b6faa845fc,Carrier 1215458,false
583ef0abc85399329951c322be339c47,Carrier 1695713,false
056ff3f48f2a13a0c1f362d5c35280ec,Carrier 1615835,false
e626232dbfc8637bf32dfb60156c1a77,Carrier 975211,false
613194bf4f28f7c90d70d1412a3fcafa,Carrier 972055,false
aeff2cffcdd3ee9e51ce1c62abcc06b3,Carrier 369761,false
253d04285ab863f8dcaa140a1186746f,Carrier 1030902,false
569712c8d0f1a2b1625d53dd9300e39b,Carrier 944110,false
a91480121f72d0be5e8fabcca06a04ae,Carrier 98311,true
43eeef8a0589745304e81a5e4d4a6f12,Carrier 1695678,false
b93c6bd019c2d34d14cefdf1672f5bea,Carrier 1695741,false
5792954459773c247781cb448c1ad74d,Carrier 1480516,false
518beeaedfa1eb281e987ad725fdf326,Carrier 866676,false
9b0a5e284a6896134e1beb5fbe03d037,Carrier 1642904,false
8363f11f30df86b36ad890980c267b62,Carrier 1451271,false
ea7173bbd41ae13da28d0d2d9d1e222d,Carrier 1022199,false
e9d092b3a7c0a1b9d6605737bf654bbb,Carrier 1695793,false
baf646c024d9e10da96174fb65710300,Carrier 1069611,false
7fb28cdf1c6b503ee40c1fbbcc1135a8,Carrier 1005988,false
6db1da9ec99b7e3013ff465ca1337077,Carrier 977012,false
ff1a160d2d57d77dd29f2380a34e98fd,Carrier 53590,false
d44016814cebd3ef593ab15450a8fd0e,Carrier 178,false
a4ac08310ce7a010a29f5ffd20d02169,Carrier 1690730,false
ad7504628ea21e806487cfed156eb1ca,Carrier 1073769,false
41058c078ed6ac78a6e124e11a52a909,Carrier 1460563,false
016204f25f6a06f0870453e05f5f77ea,Carrier 125642,false
3501544c1eb15afb334a58b9c2daab09,Carrier 1652456,false
80deb2ca713d3b5f173b96141e02d7ff,Carrier 1693961,false
fa79839ebb24a47a1fe3be86d50d3f44,Carrier 1241917,false
f192b922af9d1fb625ad6cbf7b04f211,Carrier 116644,false
bdad02a33d2f8f5fc01f0a6a0acd60b7,Carrier 1549011,false
fb8b21dfc619e7d59c48c736e0717c23,Carrier 1135169,false
96d2d2986aa02ecf5643fed7e75c266b,Carrier 55977,false
1aef3ce38b31e3d6ce01ddf223e1a993,Carrier 75065,false
446d1f54ae29ad558019470ace7237f0,Carrier 1048375,false
9740f0640f409d9bccbe5fc9f1bbf8cf,Carrier 563947,false
8821eaa4e5a4c93a8441cc38972e675d,Carrier 963502,false
8b7f9a620dfd4f0fc87d36820de555d5,Carrier 985182,false
80019c9993f1f274b02c954f19795e86,Carrier 1630193,false
ea7056f4fefb03d081b30318cb2d0ccd,Carrier 1368850,false
