lane_key,lane,pickup_city,pickup_state,pickup_state_name,delivery_city,delivery_state,delivery_state_name
018c3887bb72cdaf128d4eced247471b,"North Charleston,SC -> Laredo,TX",North Charleston,SC,South Carolina,Laredo,TX,Texas
7844be4b31cb2eab50b504223face7f3,"Decatur,IN -> Cleveland,NC",Decatur,IN,Indiana,Cleveland,NC,North Carolina
491e74934672eeb4d02f97a174727c0e,"Sycamore,IL -> Lakeland,FL",Sycamore,IL,Illinois,Lakeland,FL,Florida
f5795191feca53183d8a5b8206a3006f,"Fort Collins,CO -> Portland,OR",Fort Collins,CO,Colorado,Portland,OR,Oregon
ecb69e76be01944a6905202891d57ea9,"Pleasant Prairie,WI -> Williamsburg,VA",Pleasant Prairie,WI,Wisconsin,Williamsburg,VA,Virginia
1ff6733b0d2953b7dd34f1f0856e6091,"Williamsburg,VA -> Piedmont,SC",Williamsburg,VA,Virginia,Piedmont,SC,South Carolina
1ecbbc921a44279aacb7ebd2e6cddf58,"Granite City,IL -> Kirksville,MO",Granite City,IL,Illinois,Kirksville,MO,Missouri
45e31b8991db781c60ec7073ebc247dd,"Cartersville,GA -> Ebro,FL",Cartersville,GA,Georgia,Ebro,FL,Florida
7218527bf381efc81e468b9e444b0fab,"Medley,FL -> Rome,GA",Medley,FL,Florida,Rome,GA,Georgia
238adb40847d6c18c5e0bc73f7467a77,"Newark,NJ -> State College,PA",Newark,NJ,New Jersey,State College,PA,Pennsylvania
86add9c7948a0dc60662ab731d684336,"Richmond,CA -> Tracy,CA",Richmond,CA,California,Tracy,CA,California
8f0b45bbef650db1824d0ad269addcc4,"Newark,NJ -> Mount Vernon,NY",Newark,NJ,New Jersey,Mount Vernon,NY,New York
46ab9b7d467bd71c51f6e2757cbf5cbb,"Santa Ana,CA -> Jurupa Valley,CA",Santa Ana,CA,California,Jurupa Valley,CA,California
11089b18db875b232f7b7501af9586a7,"Hillsborough Township,NJ -> Philadelphia,PA",Hillsborough Township,NJ,New Jersey,Philadelphia,PA,Pennsylvania
a5bc0ae822e7e436b0e87a090f04db16,"Queens,NY -> Newark,NJ",Queens,NY,New York,Newark,NJ,New Jersey
3464a85eb0171b9d01c5375b4fd606d3,"Perrysburg,OH -> Toledo,OH",Perrysburg,OH,Ohio,Toledo,OH,Ohio
f5f985c111e32016f6206819e8139dd4,"Miami,FL -> Athens,AL",Miami,FL,Florida,Athens,AL,Alabama
c2312dff519279a8e73390d067a94af9,"Houston,TX -> Pacific,WA",Houston,TX,Texas,Pacific,WA,Washington
07e6fb8fe9643b822abee3ba4192c845,"Laredo,TX -> Conover,NC",Laredo,TX,Texas,Conover,NC,North Carolina
484a2e49a0b23f7b2ced303f27fad5c7,"Reading,PA -> Mundelein,IL",Reading,PA,Pennsylvania,Mundelein,IL,Illinois
c9a726ae0b71bc2b2414cc533c190fe1,"Goose Creek,SC -> Charlotte,NC",Goose Creek,SC,South Carolina,Charlotte,NC,North Carolina
d664f3f6240d7f6dd47ebc9963d6df1e,"Baldwinsville,NY -> Little Falls,NY",Baldwinsville,NY,New York,Little Falls,NY,New York
f217674c41032c1cedaa29ee31d49419,"Lynn,MA -> Newark,NJ",Lynn,MA,Massachusetts,Newark,NJ,New Jersey
d4471085ef8e2fc0086b9858d5b9a49d,"Trenton,MO -> Mount Holly,NC",Trenton,MO,Missouri,Mount Holly,NC,North Carolina
106614e5a451a08796784b5b487d994f,"Trenton,MO -> Laredo,TX",Trenton,MO,Missouri,Laredo,TX,Texas
4211c278fe76c00232790c9587855a55,"Sioux City,IA -> Longmont,CO",Sioux City,IA,Iowa,Longmont,CO,Colorado
daea1affdeba64df3e75f4a620c9db48,"Fort Collins,CO -> Moorhead,MN",Fort Collins,CO,Colorado,Moorhead,MN,Minnesota
76fb7d8cfab880b086456a7eee1a57ca,"Aurora,CO -> Ogden,UT",Aurora,CO,Colorado,Ogden,UT,Utah
07522c4ab4dd8ec5b7013c3b209e7732,"Fort Collins,CO -> Cedar City,UT",Fort Collins,CO,Colorado,Cedar City,UT,Utah
b6dd8769d2496839f2a4f22d81f6a2ad,"Normal,IL -> Bryan,OH",Normal,IL,Illinois,Bryan,OH,Ohio
69cb72dd2ea61c2458a5715e88c61f19,"Dunkirk,IN -> Wilson,NC",Dunkirk,IN,Indiana,Wilson,NC,North Carolina
554308f3f821fc22d69d660c750feb8d,"Chillicothe,OH -> Portland,OR",Chillicothe,OH,Ohio,Portland,OR,Oregon
7922999ad95b399472194d537bbbee7d,"Fort Collins,CO -> Puyallup,WA",Fort Collins,CO,Colorado,Puyallup,WA,Washington
5787a74af9977089351f425264801f5f,"Plant City,FL -> Woodbridge Township,NJ",Plant City,FL,Florida,Woodbridge Township,NJ,New Jersey
2ef38921b106a48d8962cfff5299c259,"Columbus,OH -> Jacksonville,FL",Columbus,OH,Ohio,Jacksonville,FL,Florida
941c897175021ba352f907d2aa599068,"Fort Collins,CO -> Durango,CO",Fort Collins,CO,Colorado,Durango,CO,Colorado
4c40a7916b626a6f8ec306635471f3ab,"Vineland,NJ -> Bronx,NY",Vineland,NJ,New Jersey,Bronx,NY,New York
a4fb9e8e685efe985128bd3838673d8d,"Houston,TX -> Houma,LA",Houston,TX,Texas,Houma,LA,Louisiana
f2056bf224f8a1194d563aabfce05d6c,"Statesville,NC -> Canton,OH",Statesville,NC,North Carolina,Canton,OH,Ohio
aa893a344049f2f61d936f9ad76c5519,"Warrenton,VA -> Ephrata,PA",Warrenton,VA,Virginia,Ephrata,PA,Pennsylvania
fc8d7b3bfaeb3f413df5da101571d3b8,"Casa Grande,AZ -> San Diego,CA",Casa Grande,AZ,Arizona,San Diego,CA,California
43d4c0069f5af1257081c97644e8be1f,"Fairfield,CA -> Jacksonville,FL",Fairfield,CA,California,Jacksonville,FL,Florida
1af7ea14b8ff389140b40d1c31e12f48,"Bolingbrook,IL -> Tracy,CA",Bolingbrook,IL,Illinois,Tracy,CA,California
91a171eb1ede735a6e231c0b87043cc6,"St. Louis,MO -> Schofield,WI",St. Louis,MO,Missouri,Schofield,WI,Wisconsin
5f4e97385a9c9ca5e8a62d7ebcd9f09b,"Brooklyn,NY -> Augusta,GA",Brooklyn,NY,New York,Augusta,GA,Georgia
b754edea2e0d3ab47f563e05366a2aad,"La Porte,TX -> Longview,TX",La Porte,TX,Texas,Longview,TX,Texas
302fb322b401b2c6c00eb8e215ce3c57,"Winchester,VA -> East Berlin,PA",Winchester,VA,Virginia,East Berlin,PA,Pennsylvania
f6256a25de6252277d6b30bd7194c74d,"Jacksonville,FL -> Spartanburg,SC",Jacksonville,FL,Florida,Spartanburg,SC,South Carolina
6750c7de7dac770f74c99344d94829a1,"Christiansburg,VA -> Lebanon,OH",Christiansburg,VA,Virginia,Lebanon,OH,Ohio
bc8b8e6ef67dcfc431c125fdaeaa1ddf,"Fort Collins,CO -> Grand Island,NE",Fort Collins,CO,Colorado,Grand Island,NE,Nebraska
da4af4cdc878cafeed1cfad8126ec2cc,"Granite City,IL -> Muskegon Heights,MI",Granite City,IL,Illinois,Muskegon Heights,MI,Michigan
b86be562e5c7edaec5f206c257d026a2,"Brooklyn,NY -> Jersey City,NJ",Brooklyn,NY,New York,Jersey City,NJ,New Jersey
91bffdf210fa3d006ceeb25518360355,"Pasadena,TX -> Commerce,TX",Pasadena,TX,Texas,Commerce,TX,Texas
eaffa58cefaa58553fae537d29f12813,"Tennille,GA -> Vienna,GA",Tennille,GA,Georgia,Vienna,GA,Georgia
e686f1eea83b1c41fcf4a84300a3acff,"Pennsauken Township,NJ -> Newark,NJ",Pennsauken Township,NJ,New Jersey,Newark,NJ,New Jersey
ae8822de78e376de22310132211b6ebf,"Tucson,AZ -> Methuen,MA",Tucson,AZ,Arizona,Methuen,MA,Massachusetts
db0ceb6ee0fa4926780ff5b5c3fc8945,"Anderson,SC -> Warren,OH",Anderson,SC,South Carolina,Warren,OH,Ohio
5fe93a8f269a2a7c0a534d67adfdd310,"Granite City,IL -> Brecksville,OH",Granite City,IL,Illinois,Brecksville,OH,Ohio
7e85d41d57a1f067b18eaef49316233c,"Statesboro,GA -> Brooklyn,NY",Statesboro,GA,Georgia,Brooklyn,NY,New York
e6354df2808879ff04db37d483c43e5d,"Baldwinsville,NY -> Chesapeake,VA",Baldwinsville,NY,New York,Chesapeake,VA,Virginia
d3d5e00e14384a0a0f0f51d67cbf6275,"Houston,TX -> Hutchinson,KS",Houston,TX,Texas,Hutchinson,KS,Kansas
e8de23bf64c0dbb200cc0128574c99e2,"Pittsburgh,PA -> Tolleson,AZ",Pittsburgh,PA,Pennsylvania,Tolleson,AZ,Arizona
b713f1f470862a672caec5c474ee3ee5,"Las Vegas,NV -> Chicago,IL",Las Vegas,NV,Nevada,Chicago,IL,Illinois
ea4876b649954bc78b593cdfd77e60b1,"Granite City,IL -> Charter Township of Clinton,MI",Granite City,IL,Illinois,Charter Township of Clinton,MI,Michigan
a35e99913ffee3b361a86e16b5871d5b,"Granite City,IL -> Sauk Rapids,MN",Granite City,IL,Illinois,Sauk Rapids,MN,Minnesota
73d03e96722d2dcedbe743095af8a42e,"Columbus,OH -> Johnstown,PA",Columbus,OH,Ohio,Johnstown,PA,Pennsylvania
ae5c00374ad0a0ad09a26de442de58e5,"Commerce,CA -> Chandler,AZ",Commerce,CA,California,Chandler,AZ,Arizona
1a4cd07b5d1ef91abf37f73825d5156a,"La Palma,CA -> Plant City,FL",La Palma,CA,California,Plant City,FL,Florida
04474b8cfbee7705d78d6f8e16e81960,"Quincy,WA -> Brea,CA",Quincy,WA,Washington,Brea,CA,California
46aa412d72debddd0ccd15b8e312dd07,"Plant City,FL -> Hatfield,MA",Plant City,FL,Florida,Hatfield,MA,Massachusetts
a8b5b833224e6e6f1a54144d322c4259,"Los Angeles,CA -> Watsonville,CA",Los Angeles,CA,California,Watsonville,CA,California
43ee035c6e9f21e0f1b548f0c9211ed5,"La Pine,OR -> Tolleson,AZ",La Pine,OR,Oregon,Tolleson,AZ,Arizona
8f2f387468fbdecbc0f0a2d91511e768,"Lakeland,FL -> Compton,CA",Lakeland,FL,Florida,Compton,CA,California
82cff93f4ce52b1f1363a819fb999c33,"Holiday City,OH -> Baldwinsville,NY",Holiday City,OH,Ohio,Baldwinsville,NY,New York
58237539298dd519710268b13f0ccbbe,"St. Louis,MO -> Cartersville,GA",St. Louis,MO,Missouri,Cartersville,GA,Georgia
894fdb76158bac6ebc1bf072dcd148f9,"Spring Valley,NY -> Waterbury,CT",Spring Valley,NY,New York,Waterbury,CT,Connecticut
e2be1f03a77f13680a13062a0ad9ece5,"Aurora,CO -> Omaha,NE",Aurora,CO,Colorado,Omaha,NE,Nebraska
30b76096158689cc8c892d8c556cd75e,"Fairfield,CA -> Merrimack,NH",Fairfield,CA,California,Merrimack,NH,New Hampshire
d41c1f8164cbe937868cdb47c96d45cd,"Santa Ana,CA -> Sacramento,CA",Santa Ana,CA,California,Sacramento,CA,California
0c876ed442699e92124f212a910379ad,"Los Angeles,CA -> Greensboro,NC",Los Angeles,CA,California,Greensboro,NC,North Carolina
675f94375f59446afaecef32260f81a5,"Broomfield,CO -> Las Vegas,NV",Broomfield,CO,Colorado,Las Vegas,NV,Nevada
d8dad47697c248b7371f24c103d0e777,"Columbus,OH -> Danville,VA",Columbus,OH,Ohio,Danville,VA,Virginia
b0b12a73fdcfa6d4b49656fae756aef5,"Granite City,IL -> Muskegon,MI",Granite City,IL,Illinois,Muskegon,MI,Michigan
3225e2c323695ed1c2dc1c45c2969c55,"Carlisle,PA -> Orange,CT",Carlisle,PA,Pennsylvania,Orange,CT,Connecticut
6c8823550dfa59ffb84ff9dd0fbc5724,"Williamsburg,VA -> Greensboro,NC",Williamsburg,VA,Virginia,Greensboro,NC,North Carolina
321372e7243d967eefa01aaf1919c04a,"Columbus,OH -> Erie,PA",Columbus,OH,Ohio,Erie,PA,Pennsylvania
4f383d38cf4ec8690ea4fbdb93c15215,"St. Louis,MO -> Rogers,MN",St. Louis,MO,Missouri,Rogers,MN,Minnesota
bb14c5222691423095a57648364c6e32,"Newark,NJ -> Warren,MI",Newark,NJ,New Jersey,Warren,MI,Michigan
9eebd33390296b8a30577d6b5f58791c,"Brooklyn,NY -> Kearny,NJ",Brooklyn,NY,New York,Kearny,NJ,New Jersey
fa8ec741e47b59d69218b8534c9d06af,"Granite City,IL -> Albert Lea,MN",Granite City,IL,Illinois,Albert Lea,MN,Minnesota
a59159f8e283e89edd422f7dec9f6918,"Fort Collins,CO -> Elko,NV",Fort Collins,CO,Colorado,Elko,NV,Nevada
adbf22d18ba05ec2d52315df96ba7742,"Wray,CO -> Denver,CO",Wray,CO,Colorado,Denver,CO,Colorado
fff0e397ef4bb5d4a2df36d4371ec7f6,"Georgetown,SC -> Lexington,NC",Georgetown,SC,South Carolina,Lexington,NC,North Carolina
c151427cafaa314d37c45c435329d103,"Owensboro,KY -> Grand Rapids,MI",Owensboro,KY,Kentucky,Grand Rapids,MI,Michigan
f16db9a293d6e1b761d609648f8a0db2,"Dublin,VA -> Mount Holly,NC",Dublin,VA,Virginia,Mount Holly,NC,North Carolina
410f9132f624f1c7c36dc2a1cfbd2e45,"Edinburg,VA -> York,PA",Edinburg,VA,Virginia,York,PA,Pennsylvania
219c5cb7c3a28974a480970f7df533c5,"Lakewood,NY -> Statesville,NC",Lakewood,NY,New York,Statesville,NC,North Carolina
bf0f74965495aa62122a443cc9e40480,"Baldwinsville,NY -> Columbus,OH",Baldwinsville,NY,New York,Columbus,OH,Ohio
0793f0bc2d869d4fb035365cdd701902,"St. Louis,MO -> Metairie,LA",St. Louis,MO,Missouri,Metairie,LA,Louisiana
5b5255e6d337e62eb898904e4511d085,"Aurora,CO -> Amarillo,TX",Aurora,CO,Colorado,Amarillo,TX,Texas
37de9e9f207e8f67686fd0aeb2331730,"La Porte,TX -> Madisonville,LA",La Porte,TX,Texas,Madisonville,LA,Louisiana
bc7f43195c7ab61355fa65edc10ba5c2,"Bridgewater,NJ -> York,PA",Bridgewater,NJ,New Jersey,York,PA,Pennsylvania
729cc7924a40eb4a48f0afca2888e303,"Aurora,CO -> Glenwood Springs,CO",Aurora,CO,Colorado,Glenwood Springs,CO,Colorado
2aa3e857fbeefd7d5ca1423efe61fae9,"Gulfport,MS -> Upper Marlboro,MD",Gulfport,MS,Mississippi,Upper Marlboro,MD,Maryland
31728a1d092e63e0a190109857ba64eb,"Granite City,IL -> Thief River Falls,MN",Granite City,IL,Illinois,Thief River Falls,MN,Minnesota
80e48a5b3a5d47eb8e6fd01cab648813,"Upper Marlboro,MD -> Methuen,MA",Upper Marlboro,MD,Maryland,Methuen,MA,Massachusetts
ea6e20f767fdb067dbb8f2c3fe2d84cd,"Wyomissing,PA -> Mundelein,IL",Wyomissing,PA,Pennsylvania,Mundelein,IL,Illinois
5255c824b96f3dbfb9c934729e1f23e7,"Williamsburg,VA -> Elkins,WV",Williamsburg,VA,Virginia,Elkins,WV,West Virginia
2097d2fbb15fac5d64ab761259f8b741,"Phoenix,AZ -> Downey,CA",Phoenix,AZ,Arizona,Downey,CA,California
b499b47cd1a7189e8bf966e812bfabb6,"Williamsburg,VA -> San Antonio,TX",Williamsburg,VA,Virginia,San Antonio,TX,Texas
c025f5c5437bf65bc376d3a27933397a,"Granite City,IL -> Sioux City,IA",Granite City,IL,Illinois,Sioux City,IA,Iowa
4907c17c7f0cb9891aa82d9ab9eaeca0,"Mount Ayr,IA -> Laceys Spring,AL",Mount Ayr,IA,Iowa,Laceys Spring,AL,Alabama
3cd03c2929be7a22d3928f28d666aeed,"St. Louis,MO -> Decatur,IL",St. Louis,MO,Missouri,Decatur,IL,Illinois
7fef6d6d3c5f883356866d3804b079ee,"Newark,NJ -> Tampa,FL",Newark,NJ,New Jersey,Tampa,FL,Florida
c0e0f0699a86b5af9945bea99683b4c1,"Lockport,IL -> Cleveland,NC",Lockport,IL,Illinois,Cleveland,NC,North Carolina
7680d5c93a90a2054a78bca3f3fac0e5,"Georgetown,SC -> Anaheim,CA",Georgetown,SC,South Carolina,Anaheim,CA,California
d9b55bc4add4c4d7ea5f4f011d37842d,"Laredo,TX -> Milwaukee,WI",Laredo,TX,Texas,Milwaukee,WI,Wisconsin
65122734a605a362d72e0eb8f620cbef,"Huntingdon,TN -> Darlington,SC",Huntingdon,TN,Tennessee,Darlington,SC,South Carolina
f3ccb1718e39a179e9dd1cbd6bf8796b,"Yakima,WA -> Methuen,MA",Yakima,WA,Washington,Methuen,MA,Massachusetts
ebda9d8cbb52f2163c2a3c2e40c5b304,"Clackamas,OR -> Roanoke,TX",Clackamas,OR,Oregon,Roanoke,TX,Texas
e0a5bc4e45ef332e4a5c6c50297f63fd,"Fort Collins,CO -> Great Falls,MT",Fort Collins,CO,Colorado,Great Falls,MT,Montana
0bdf9f7cb7af8db9564d27e3810b5690,"Los Angeles,CA -> Visalia,CA",Los Angeles,CA,California,Visalia,CA,California
92c10c6badb40b384a4c56ea1cac7601,"Brighton,MI -> Canton,OH",Brighton,MI,Michigan,Canton,OH,Ohio
90d9d2bfd07dc8a9393173307f54ee15,"Santa Ana,CA -> Carson,CA",Santa Ana,CA,California,Carson,CA,California
9883f53d0fb298f53e78a914c79a1db4,"Brooklyn,NY -> Newark,NJ",Brooklyn,NY,New York,Newark,NJ,New Jersey
dcfa529c8e6206d12e9d8e4d7ef70b2f,"Buffalo,NY -> New Brunswick,NJ",Buffalo,NY,New York,New Brunswick,NJ,New Jersey
f9c8ce7b57ee967c39b873c8fd8582e7,"Compton,CA -> Portland,OR",Compton,CA,California,Portland,OR,Oregon
7782d8ac47a92bd59931c4f4e8675b35,"Newark,NJ -> Grand Forks,ND",Newark,NJ,New Jersey,Grand Forks,ND,North Dakota
1eff739b2cbe7ddbaa7a808269207d0e,"Baldwinsville,NY -> Milford,MA",Baldwinsville,NY,New York,Milford,MA,Massachusetts
c040d119f9486ae5bc99f7a0412c29e2,"1,LA -> Brazil,IN",1,LA,Louisiana,Brazil,IN,Indiana
806fc2826c2246f8d2559076dfeff201,"Opelika,AL -> Bryan,OH",Opelika,AL,Alabama,Bryan,OH,Ohio
83ba59d121427768bc179081b5f7ddf9,"Fort Collins,CO -> Rock Springs,WY",Fort Collins,CO,Colorado,Rock Springs,WY,Wyoming
4e168992171b3c86a404e5056d1b73ce,"Carlisle,PA -> Springfield,VA",Carlisle,PA,Pennsylvania,Springfield,VA,Virginia
120dd2e633ba696d19f56693d51386be,"Plant City,FL -> Monroe Township,NJ",Plant City,FL,Florida,Monroe Township,NJ,New Jersey
e2c4e418e7ed79f8891984fc3e40b272,"Georgetown,SC -> Akron,OH",Georgetown,SC,South Carolina,Akron,OH,Ohio
e335b2f7fe10b4992a425356e6611306,"Bridgewater,NJ -> Miami,FL",Bridgewater,NJ,New Jersey,Miami,FL,Florida
f5bc575352fac6a7f3619deb60ff684d,"St. Louis,MO -> West Union,IA",St. Louis,MO,Missouri,West Union,IA,Iowa
01b824a2e106c17bd1df3392686afc40,"Colfax,NC -> Abbottstown,PA",Colfax,NC,North Carolina,Abbottstown,PA,Pennsylvania
2018444d8d5de4d173de94caf33aa4c1,"Paris,TN -> New Haven,IN",Paris,TN,Tennessee,New Haven,IN,Indiana
2c80afe4b19bc91cfc8e9fa4a2b7c9e7,"Los Angeles,CA -> Newark,NJ",Los Angeles,CA,California,Newark,NJ,New Jersey
ec637f761fff876d73862e8d25aedb3d,"St. Louis,MO -> Indian River,MI",St. Louis,MO,Missouri,Indian River,MI,Michigan
899de8597874a1aca9b5df9806ff26ed,"Granite City,IL -> Highland Park,MI",Granite City,IL,Illinois,Highland Park,MI,Michigan
09cdaacd61d600275c4451991ca5724c,"Conover,NC -> Crothersville,IN",Conover,NC,North Carolina,Crothersville,IN,Indiana
f446ce3818ec321928ec7735b3d3ddee,"Bloomington,CA -> Phoenix,AZ",Bloomington,CA,California,Phoenix,AZ,Arizona
8770a0431bc07cb61fd409df49ab42d7,"Bridgewater,NJ -> Rochester,NY",Bridgewater,NJ,New Jersey,Rochester,NY,New York
81ce37c42a7d6884f9a1e70cee62cd63,"McCook,NE -> Russellville,KY",McCook,NE,Nebraska,Russellville,KY,Kentucky
4f939b60bddf49175f0a60b0c59f9e7b,"Colonial Heights,VA -> Nashville,TN",Colonial Heights,VA,Virginia,Nashville,TN,Tennessee
5861044d3e842c37c14e028402c05238,"Montpelier,OH -> Reno,NV",Montpelier,OH,Ohio,Reno,NV,Nevada
