shipper_key,shipper_name
3320a14a3f687de23a81c73072b4e5a1,Shipper 590
cef082b68836a87690c5532958d1cd4b,Shipper 1184
7f2535d2d7cff9c7b8fe0dce6d0a2f89,Shipper 901
f45535f8480f74d7fa84600bc9dff59d,Shipper 1287
c6b603160dc03c872c26e7284f0b36a4,Shipper 1642
a0a8a674ec76425dc63aea94d88b23fe,Shipper 749
c6dbfe0bb4dd1e2117031279b4269d1a,Shipper 1367
b65cb0a187dda62607974765ed067669,Shipper 1063
6c31559b992ca53d76f18605f61f1184,Shipper 1404
ea2a4561da978a85fb2a6fb5e32501d5,Shipper 1173
f04ae7c8d07705dc3aeefad5cc14f0ad,Shipper 968
418c20bff7c17f0190a20a28aa363f13,Shipper 398
f5691c827f349ddabda08cafc435a78d,Shipper 727
90cfa7fb95414f1b3a46ec752d08b543,Shipper 1044
077242a8278dba05f10e246b12d1de29,Shipper 1662
f0ffa7f49cbdaa654a26a48c1ed19cfc,Shipper 496
3e44005819e30fdd0f195b21b8ebdcb9,Shipper 765
0eda83a4d447840c298b3a7263fe7ff4,Shipper 1104
235e8301f7aac4521d1a307be46c1439,Shipper 1272
fc15c8720108281350a61e084302e7cb,Shipper 832
1d43352ab9d5e2a46f389f889fe8f344,Shipper 762
e470b24a23335b1272427c0b38412ea5,Shipper 1175
fffd178c066797b61a29e80a3bd3e963,Shipper 937
63475662c2ebc259117dadf60cdc6664,Shipper 860
b6090a0978011750141e3e84322afc19,Shipper 948
6709c9adf038c664fb813691e4ef9f4b,Shipper 1303
f907418a0231f6875d0c1607fc673598,Shipper 1590
350cf70a0b81ee50f7b8a2c26edd1108,Shipper 1395
66ea85a34d914bd9980d323df84b604a,Shipper 1531
93c7251205a6faa4fd1d50b8bb64800a,Shipper 801
3d12a38076ec7fb663f09e9fb170b7fd,Shipper 1511
fdcc1835ca6e3c5d5e538128ce66dc34,Shipper 882
7dcbfc2145d285eee0be4652d34c4bab,Shipper 585
968ddbbdd8ef879c16e2d2fed84be024,Shipper 1249
b8dbed4b9c0722b422ecf08e45a7f352,Shipper 744
771533ba397df71830420570d2d31d46,Shipper 1048
34cbbd66ed770b1d3361458ed12ec97b,Shipper 1192
a9aeed390329246316dab1b146ecd923,Shipper 757
074b08b4b918caa3f4daf63365bcf14d,Shipper 1033
19f33cd7bcbc39b169cb21599386db2a,Shipper 1070
0879430520b6c9ed6c060cbb4c42dcb7,Shipper 1024
da7e8de868af2e93fe11c73666d2344f,Shipper 1490
043c8194f4680018f3b4f9f5b25a537d,Shipper 1345
027b8de7c9846b8e39cdc3a28839b50b,Shipper 1298
4fb86b59f76c7a936daa525dbceabdbc,Shipper 841
bc6c844fbfeb8c263927a536bc5ba6d4,Shipper 1453
21be2f8dada8582a2c5ea8cdb5720123,Shipper 1356
04ccc3c6a1bf89aa179d6e1f7cabba36,Shipper 1357
313a5e4a8aa3f315c8c2bf21f51bf008,Shipper 773
eba10c14aae92892e80b111c013d824c,Shipper 810
833d4b11000534d38f90b79017b01b5d,Shipper 1585
d963279ab4c4c2b92620d3828729d417,Shipper 1262
5b568f35ee7f570da680c83e1ffb3d8b,Shipper 866
8cc344bfc493ee8ceb39799d2d67e1bc,Shipper 929
9d54ff8b652a3367b38ac732fe4d948c,Shipper 1555
35addae0ec19ff3f75bd357b192a730b,Shipper 1536
9504bc56c64c6d76be430efa5facd2c0,Shipper 1103
e10ec309171cf413da24cb762204c828,Shipper 1501
43690a38bab9c37e06969963b7551509,Shipper 943
961d37eff8c3582322f3e1f47f31ddb0,Shipper 989
0990d47b957f64e32cd00f29fc9eae0a,Shipper 560
3dac560d3967450e9350e30c0d2be701,Shipper 1374
926103e3c25a9d529e9b89a2ed4e71a4,Shipper 1517
122c1bfecb0229c5531593b685d440d8,Shipper 734
c3bf47450de5a43db1a26cea3594964e,Shipper 790
d4efb232ced36c2cde0b458fd66553a6,Shipper 1528
1f07c05a879859f5b4dcb60385e957a1,Shipper 425
c69347b51fe816de3c06a0a2f29d3157,Shipper 811
a405c328adc7ab4c4abfc4eabdb4ade2,Shipper 1397
51836735d307b07987213eece8b47333,Shipper 840
029a5eeee5b31f41f88c535a82af7fc9,Shipper 1498
b21c5149c1d81522cbc54147d3f1be9d,Shipper 1465
5ef169270014364036c258737f914543,Shipper 780
7959787f558cd72a1baef706d7f44af7,Shipper 1513
0542baae64ce452a994515c41e3793b3,Shipper 623
54e5152d1fd84891a77c778092457e79,Shipper 751
60f8ed0248a72f43e6a1a93dbfb6f3a7,Shipper 802
e94105e1cef97de3c14e269fe5d6a534,Shipper 766
6af0d2b47398b8ae58446d93ffe4e82b,Shipper 971
d41a9c02a892266f482c1f78eefc0be9,Shipper 715
95ee25a8a5614520e88070e240f79ac5,Shipper 1180
7c6c08b66bfc22bf5e0ffea96b5276a2,Shipper 1268
c360d5f10e16c4bc24d8c21b9c816b2d,Shipper 824
be92243fcbb80d0da9e98f9fdd8a0a6b,Shipper 758
2d1d60ebdc11687c0c31221a52c53716,Shipper 944
c90c7d17284fe27e1b10d096e84c53a5,Shipper 618
ba3dc20c39d9ae3ef96826dff9e48d51,Shipper 973
3f249fc3c5111f44ccca04b3cd000697,Shipper 1342
6c1c9ad6d4c4a8419a8f562cbf7e701f,Shipper 705
950799b053ed2e3d7f02c0e13ae04519,Shipper 1644
9d1f37017c5f8cb95203c783b02a2610,Shipper 1570
7f1d381d4eaff64d66f4396d3818ff4d,Shipper 1052
ca52518805bc72ca388b70dff875e932,Shipper 1078
f00b0687d1c4f24b5af1935bf331d0d1,Shipper 923
